id,Age,Gender,Education_Level,Job_Title,Years_of_Experience,Salary
163,28,Female,Bachelor's,Software Engineer,5,160000
162,27,Female,Bachelor's Degree,Software Engineer,3,70000
189,28,Male,Bachelor's Degree,Web Developer,3,55000
74,25,Female,Bachelor's Degree,Junior Software Developer,S,35000
177,54,Male,PhD,Software Engineer Manager,16,190000
177,54,Male,PhD,Software Engineer Manager,16,190000
78,33,Male,Bachelor's,Junior Software Developer,5,50000
65,27,Female,Bachelor's Degree,Graphic Designer,2,50000
166,27,Female,Bachelor's Degree,Software Engineer,3,70000
85,27,Female,Bachelor's Degree,Junior Software Engineer,1,45000
147,45,Female,PhD,Senior UX Designer,16,160000
103,30,Male,Bachelor's,Network Engineer,3,60000
139,54,Male,Master's Degree,Senior Software Engineer,32,195270
178,54,Female,PhD,Software Engineer Manager,32,191510
132,38,Female,Bachelor's,Senior Project Manager,9,120000
146,40,Female,PhD,Senior Software Engineer,12,160000
81,26,Female,Bachelor's Degree,Junior Software Developer,2,35000
66,27,Female,Bachelor's Degree,Graphic Designer,2,50000
107,45,Male,PhD,Senior Data Engineer,16,150000
58,36,Male,Master's Degree,Full Stack Engineer,11,137775
117,36,Male,PhD,Senior Data Scientist,12,170000
19,25,Female,Master's,Data Analyst,1,100000
123,41,Female,Master's Degree,Senior Project Engineer,11,165000
7,38,Male,Bachelor's Degree,Back end Developer,14,136449
109,36,Male,PhD,Senior Data Scientist,12,170000
25,33,Male,PhD,Data Scientist,8,190000
12,37,Male,Bachelor's Degree,Data Analyst,11,160000
63,28,Male,Bachelor's Degree,Graphic Designer,3,60000
136,34,Male,Master's,Senior Software Developer,8,105000
98,23,Female,Bachelor's Degree,Junior Web Developer,1,40000
69,27,Male,Bachelor's Degree,Graphic Designer,2,50000
25,33,Male,PhD,Data Scientist,8,190000
131,42,Female,Bachelor's,Senior Project Manager,12,120000
184,33,Male,Bachelor's Degree,Web Developer,5,70000
144,36,Male,Master's Degree,Senior Software Engineer,7,140000
141,37,Male,Master's Degree,Senior Software Engineer,9,145000
6,46,Female,Bachelor's Degree,Back end Developer,18,155795
158,28,Male,Bachelor's Degree,Software Developer,3,60000
93,34,Male,Bachelor's Degree,Junior Web Developer,3,50000
35,29,Male,Bachelor's Degree,Front End Developer,4,80000
122,43,Male,PhD,Senior Project Engineer,13,185000
154,24,Female,Bachelor's Degree,Software Developer,2,55000
37,29,Male,Bachelor's Degree,Front End Developer,4,80000
15,30,Female,Bachelor's,Data Analyst,5,145000
70,26,Female,Bachelor's Degree,Graphic Designer,2,50000
95,34,Male,Bachelor's Degree,Junior Web Developer,3,50000
38,29,Male,Bachelor's Degree,Front End Developer,4,80000
68,26,Female,Bachelor's Degree,Graphic Designer,2,50000
114,36,Male,PhD,Senior Data Scientist,12,170000
51,38,Male,Bachelor's Degree,Front end Developer,11,136062
88,26,Female,Bachelor's Degree,Junior Software Engineer,1,45000
191,36,Female,Master's Degree,Web Developer,7,85000
99,24,Female,Bachelor's Degree,Junior Web Developer,1,40000
18,26,Male,Bachelor's,Data Analyst,3,120000
14,31,Male,Bachelor's,Data Analyst,9,195000
94,32,Male,Bachelor's Degree,Junior Web Developer,2,45000
143,42,Male,PhD,Senior Software Engineer,14,170000
40,25,Male,Bachelor's Degree,Front End Developer,2,50000
130,39,Female,Bachelor's,Senior Project Manager,12,130000
17,25,Female,Bachelor's,Data Analyst,2,110000
153,29,Male,Bachelor's Degree,Software Developer,5,80000
174,54,Male,PhD,Software Engineer Manager,17,195000
9,36,Male,Master's Degree,Back end Developer,9,150000
86,27,Female,Bachelor's Degree,Junior Software Engineer,2,48000
57,25,Other,High School,Full Stack Engineer,2,69032
31,27,Male,PhD,Developer,7,100000
60,29,Female,Bachelor's Degree,Full Stack Engineer,6,103579
73,25,Female,Bachelor's Degree,Junior Software Developer,1,35000
47,30,Female,Master's Degree,Front end Developer,5,105000
186,27,Female,Bachelor's Degree,Web Developer,2,50000
21,32,Female,PhD,Data Scientist,9,145000
124,47,Male,PhD,Senior Project Engineer,16,190000
140,44,Male,Master's Degree,Senior Software Engineer,18,152168
28,31,Male,Master's,Data Scientist,9,195000
113,33,Male,Master's Degree,Senior Data Scientist,8,120000
112,36,Male,PhD,Senior Data Scientist,12,170000
89,25,Male,Bachelor's Degree,Junior Software Engineer,1,55000
142,46,Male,Master's Degree,Senior Software Engineer,20,174938
90,27,Female,Bachelor's Degree,Junior Software Engineer,2,48000
62,26,Female,Bachelor's Degree,Graphic Designer,2,50000
179,37,Female,Master's,Software Manager,11,110000
127,43,Male,PhD,Senior Project Engineer,13,185000
14,31,Male,Bachelor's,Data Analyst,9,195000
39,29,Male,Bachelor's Degree,Front End Developer,4,80000
108,44,Female,PhD,Senior Data Engineer,16,160000
33,29,Male,Bachelor's Degree,Front End Developer,4,80000
46,29,Male,Bachelor's Degree,Front end Developer,3,80000
148,45,Female,PhD,Senior UX Designer,16,160000
168,28,Male,Bachelor's Degree,Software Engineer,4,75000
32,29,Male,Bachelor's Degree,Front End Developer,4,80000
145,31,Female,Bachelor's Degree,Senior Software Engineer,6,104378
29,31,Female,PhD,Data Scientist,8,140000
4,24,Male,Bachelor's Degree,Back end Developer,1,55000
100,26,Female,Bachelor's Degree,Junior Web Developer,2,45000
135,46,Male,PhD,Senior Researcher,18,150000
56,27,Female,Master's Degree,Full Stack Engineer,3,100000
165,23,Female,Bachelor's Degree,Software Engineer,1,50000
